model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,6963.204,alcohol|drug|party|celebration|social|gathering|recreation|leisure|fun|entertainment|binge|intoxication|overindulgence|substance abuse|addiction|dependence|withdrawal|hangover|afterparty,2026-03-31,2026-04-30,,,https://events.unl.edu/2026/04/21/197209/|https://events.unl.edu/2026/04/28/197209/|https://unl.campuslabs.com/engage/event/12401781|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/23/198237/|https://unl.campuslabs.com/engage/event/12380416|https://unl.campuslabs.com/engage/event/12423462|https://events.unl.edu/2026/04/20/199253/|https://unl.campuslabs.com/engage/event/12436226|https://unl.campuslabs.com/engage/event/12048530,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,3504.681,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3397.029,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002A,events on 2026-03-31 about community conversation,date|topic|temporal,1,0,,3528.013,community|conversation|meeting|gathering|talk|discuss|share|outreach|service|nonprofit|volunteer|participate|engage|dialogue|forum|panel|debate,2026-03-31,2026-03-31,,,,community|conversation|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002B,community conversation on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3367.749,community|conversation|meeting|gathering|talk|discuss|share|network|socialize|get together|exchange ideas,2026-03-31,2026-03-31,17:00,23:59,,community|conversation|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002C,community conversation on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3320.851,community|conversation|service|outreach|nonprofit|meeting|talk|discuss|share|idea|project,2026-03-31,2026-03-31,00:00,19:00,,community|conversation|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003A,events on 2026-03-31 about community conversations,date|topic|temporal,1,0,,3558.170,community|conversations|meeting|gathering|talk|discuss|share|outreach|service|volunteer|nonprofit|organization|group|people|social|networking,2026-03-31,2026-04-30,,,https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/12028389|https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12028390|https://unl.campuslabs.com/engage/event/12086997|https://unl.campuslabs.com/engage/event/11984960|https://unl.campuslabs.com/engage/event/12086998|https://unl.campuslabs.com/engage/event/12033629|https://unl.campuslabs.com/engage/event/11901081,community|conversations|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003B,community conversations on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3372.717,community|conversations|service|outreach|nonprofit|meeting|talk|discuss|share|listen|engage|network,2026-03-31,2026-03-31,17:00,23:59,,community|conversations|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003C,community conversations on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3455.461,community|conversations|service|outreach|nonprofit|meeting|talk|discuss|share|listen|dialogue|forum|panel|debate,2026-03-31,2026-03-31,00:00,19:00,,community|conversations|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004A,events on 2026-03-31 about birthday party,date|topic|temporal,1,0,,4045.012,birthday|party|celebration|anniversary|gathering|social|get-together|reunion|festivity|commemoration|honor|tribute|salute|toast|gift|present|surprise|fun|entertainment|games|music|dancing|food|drink|cake|presents|guests|hosts|organizers,2026-03-31,2026-03-31,,,,birthday|party,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004B,birthday party on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3743.078,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,17:00,23:59,,birthday|party,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004C,birthday party on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3151.015,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,09:00,19:00,,birthday|party,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-005A,events on 2026-03-31 about dared dream,date|topic|temporal,1,0,,3514.986,dare|dream|program|project|vision|goal|aspiration|ambition|inspire|motivate|encourage|empower|support|community|outreach|nonprofit,2026-03-31,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12110573|https://events.unl.edu/2026/04/21/198606/|https://events.unl.edu/2026/04/21/198547/|https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/11929546|https://unl.campuslabs.com/engage/event/12436325|https://events.unl.edu/2026/04/22/198927/,dared|dream|screening,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198107/
