model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,6640.688,alcohol|drug|party|celebration|social|gathering|function|reception|get-together|hangout|meetup|mixer|networking|soiree|bash|bender|binge|booze|brew|cocktail|drink|imbibe|indulge|intoxicate|party-hard|sesh|session|session-drink|social-drink,2026-03-31,2026-03-31,,,,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,3889.561,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3553.757,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002A,events on 2026-03-31 about community conversation,date|topic|temporal,1,0,,3630.946,community|conversation|meeting|gathering|talk|discuss|share|outreach|service|nonprofit|volunteer|participate|engage|dialogue|forum|panel|debate,2026-03-31,2026-03-31,,,,community|conversation|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002B,community conversation on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3407.780,community|conversation|meeting|gathering|talk|discuss|share|network|socialize|get together|exchange ideas|outreach|service,2026-03-31,2026-03-31,17:00,23:59,,community|conversation|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002C,community conversation on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3330.107,community|conversation|meeting|gathering|talk|discuss|share|network|socialize|get together|exchange ideas,2026-03-31,2026-03-31,09:00,19:00,,community|conversation|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003A,events on 2026-03-31 about community conversations,date|topic|temporal,1,0,,3683.701,community|conversations|meeting|talk|discuss|share|listen|forum|panel|debate|dialogue|outreach|service|volunteer|nonprofit|social|gathering|get together|networking,2026-03-31,2026-03-31,,,,community|conversations|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003B,community conversations on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3372.813,community|conversations|service|outreach|nonprofit|meeting|talk|discuss|share|listen|engage|network,2026-03-31,2026-03-31,17:00,23:59,,community|conversations|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003C,community conversations on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3193.434,community|conversations|service|outreach|nonprofit|meeting|gathering|talk|discuss|share|listen|engage|participate,2026-03-31,2026-03-31,00:00,19:00,,community|conversations|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004A,events on 2026-03-31 about birthday party,date|topic|temporal,1,0,,3451.207,birthday|party|celebration|anniversary|gift|present|cake|cupcakes|cookies|presents|surprise|fun|games|entertainment|music|dancing|food|drinks|snacks|social|gathering|get-together|reunion,2026-03-31,2026-03-31,,,,birthday|party,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004B,birthday party on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3602.359,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,17:00,23:59,,birthday|party,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004C,birthday party on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3175.557,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,09:00,19:00,,birthday|party,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-005A,events on 2026-03-31 about dared dream,date|topic|temporal,1,0,,4036.046,dare|dream|program|project|vision|goal|aspiration|ambition|inspire|motivate|empower|encourage|support|community|nonprofit|charity|fundraiser|donation|philanthropy,2026-03-31,2026-03-31,,,,dared|dream|screening,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198107/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-005B,dared dream on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3245.691,dream|dare|inspire|motivate|aspire|ambition|goal|target|challenge|encourage|empower,2026-04-01,2026-04-30,17:00,23:59,https://events.unl.edu/2026/04/29/197169/|https://unl.campuslabs.com/engage/event/11909818|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/11909819|https://unl.campuslabs.com/engage/event/12241481|https://events.unl.edu/2026/04/21/197216/|https://events.unl.edu/2026/04/22/196636/|https://events.unl.edu/2026/04/23/198330/|https://events.unl.edu/2026/04/28/197857/|https://events.unl.edu/2026/04/29/196636/,dared|dream|screening,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198107/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-005C,dared dream on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3430.408,dream|dare|inspire|motivate|challenge|encourage|aspire|ambition|goal|target|vision|mission,2026-03-31,2026-03-31,09:00,19:00,,dared|dream|screening,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198107/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-006A,events on 2026-03-31 about thompson forum,date|topic|temporal,1,0,,3584.987,thompson|forum|meeting|conference|symposium|seminar|panel|discussion|talk|presentation|lecture|workshop|session|gathering|get-together,2026-03-31,2026-03-31,,,,thompson|forum|americas,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/193850/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-006B,thompson forum on 2026-03-31 after 18:30,date|time|topic|temporal,1,0,,3671.872,thompson|forum|meeting|gathering|conference|symposium|seminar|panel|discussion|debate|talk|lecture|presentation|speech|address|addressing|answering|responding|participating|engaging|interacting,2026-03-31,2026-03-31,18:30,,,thompson|forum|americas,2026-03-31,2026-03-31,18:30,,https://events.unl.edu/2026/03/31/193850/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-006C,thompson forum on 2026-03-31 before 20:30,date|time|topic|temporal,1,0,,3651.082,thompson|forum|meeting|conference|gathering|session|panel|discussion|talk|lecture|debate|seminar|workshop|symposium|summit|convention|exhibition|trade show|fair|showcase,2026-03-31,2026-03-31,00:00,20:30,,thompson|forum|americas,2026-03-31,2026-03-31,,20:30,https://events.unl.edu/2026/03/31/193850/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-007A,events on 2026-04-01 about servsafe training,date|topic|temporal,1,0,,3353.581,servsafe|training|food|safety|certification|program|course|education|health|wellness|community|nonprofit|volunteer|service,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/198547/|https://unl.campuslabs.com/engage/event/12110573|https://unl.campuslabs.com/engage/event/12378858|https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/24/196885/|https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/11929546|https://events.unl.edu/2026/04/21/198606/,servsafe|training,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197086/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-007B,servsafe training on 2026-04-01 after 08:30,date|time|topic|temporal,1,0,,3480.927,servsafe|training|safety|food|service|volunteer|community|outreach|nonprofit|health|wellness|education,2026-04-01,2026-04-30,08:30,,https://events.unl.edu/2026/04/21/198547/|https://unl.campuslabs.com/engage/event/12110573|https://unl.campuslabs.com/engage/event/12378858|https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/22/198948/|https://events.unl.edu/2026/04/30/197926/|https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/11929546,servsafe|training,2026-04-01,2026-04-01,08:30,,https://events.unl.edu/2026/04/01/197086/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-007C,servsafe training on 2026-04-01 before 10:30,date|time|topic|temporal,1,0,,3421.002,servsafe|training|safety|food|service|staff|employee|workplace|health|wellness,2026-04-01,2026-04-30,00:00,10:30,https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/24/196885/|https://events.unl.edu/2026/04/25/198744/|https://unl.campuslabs.com/engage/event/11901081|https://unl.campuslabs.com/engage/event/11901082|https://events.unl.edu/2026/04/22/199243/|https://unl.campuslabs.com/engage/event/12026985|https://unl.campuslabs.com/engage/event/11984960|https://events.unl.edu/2026/04/21/199299/|https://events.unl.edu/2026/04/21/198946/,servsafe|training,2026-04-01,2026-04-01,,10:30,https://events.unl.edu/2026/04/01/197086/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-008A,events on 2026-04-01 about conference great,date|topic|temporal,1,0,,3496.534,conference|great|meeting|gathering|seminar|symposium|forum|panel|talk|presentation|speech|lecture|workshop|session|summit|convention|exhibition|trade show|fair|expo,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/197565/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/23/197456/|https://events.unl.edu/2026/04/24/199085/|https://events.unl.edu/2026/04/25/199086/|https://events.unl.edu/2026/04/25/198309/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12184575|https://unl.campuslabs.com/engage/event/12421114,conference|great|plains,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/195641/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-008B,conference great on 2026-04-01 after 09:00,date|time|topic|temporal,1,0,,3513.726,conference|great|meeting|gathering|symposium|seminar|workshop|panel|session|talk|presentation|speech|keynote|speaker|attendee|participant|audience,2026-04-01,2026-04-30,09:00,,https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/21/197565/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/23/197456/|https://events.unl.edu/2026/04/24/199085/|https://events.unl.edu/2026/04/25/199086/|https://events.unl.edu/2026/04/25/198309/|https://unl.campuslabs.com/engage/event/12378858|https://unl.campuslabs.com/engage/event/12184575|https://unl.campuslabs.com/engage/event/12413538,conference|great|plains,2026-04-01,2026-04-01,09:00,,https://events.unl.edu/2026/04/01/195641/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-008C,conference great on 2026-04-01 before 11:00,date|time|topic|temporal,1,0,,3505.652,conference|great|meeting|gathering|symposium|seminar|workshop|panel|session|talk|presentation|speaker|attendee|participant|organizer,2026-04-01,2026-04-30,00:00,11:00,https://events.unl.edu/2026/04/21/194804/|https://events.unl.edu/2026/04/25/198309/|https://unl.campuslabs.com/engage/event/11984960|https://events.unl.edu/2026/04/23/199302/|https://events.unl.edu/2026/04/23/198950/|https://events.unl.edu/2026/04/24/199085/|https://events.unl.edu/2026/04/24/198305/|https://events.unl.edu/2026/04/25/199086/|https://unl.campuslabs.com/engage/event/12033629|https://unl.campuslabs.com/engage/event/12145402,conference|great|plains,2026-04-01,2026-04-01,,11:00,https://events.unl.edu/2026/04/01/195641/
