model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,5816.830,asun|senate,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/22/198768/|https://events.unl.edu/2026/04/22/198888/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/22/199288/,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,3585.215,asun|senate|meeting|gathering|congress|legislation|government|politics|public|service|community|outreach|nonprofit,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/11984960|https://events.unl.edu/2026/04/22/199243/|https://unl.campuslabs.com/engage/event/11974955|https://unl.campuslabs.com/engage/event/12033629,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,3032.039,asun|senate,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/22/198768/|https://events.unl.edu/2026/04/22/198888/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/22/199288/,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3332.935,asun|senate|meeting|gathering|congress|legislation|lawmaking|government|policy|debate|discuss|decide,2026-04-01,2026-04-30,18:00,19:30,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/28/198995/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3281.059,asun|senate|meeting|gathering|forum|discuss|debate|vote|legislation|government|politics,2026-04-01,2026-04-30,18:00,19:30,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/23/197456/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3282.221,asun|senate|meeting|gathering|forum|discuss|debate|vote|legislation|government|politics,2026-04-01,2026-04-30,18:00,19:30,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/23/197456/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3307.163,asun|senate|campus|organization|student|government|meeting|gathering|forum|discuss|decide|vote|represent|voice|concerns|issues|interests,,,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/07/15/195611/|https://events.unl.edu/2026/10/21/195612/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/11429018|https://unl.campuslabs.com/engage/event/11429019|https://unl.campuslabs.com/engage/event/12073192,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3533.131,asun|senate|campus|organization|student|government|leadership|meeting|gathering|forum|discuss|decide|vote|participate|engage|involvement|community|school|university,2026-04-30,2026-04-30,,,https://unl.campuslabs.com/engage/event/12110573|https://events.unl.edu/2026/04/30/190663/|https://unl.campuslabs.com/engage/event/12086998|https://events.unl.edu/2026/04/30/190101/|https://unl.campuslabs.com/engage/event/12004161|https://unl.campuslabs.com/engage/event/12173131|https://unl.campuslabs.com/engage/event/12028390|https://unl.campuslabs.com/engage/event/12131717|https://unl.campuslabs.com/engage/event/11925238|https://unl.campuslabs.com/engage/event/12080932,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3631.172,asun|senate|campus|organization|student|government|leadership|meeting|gathering|forum|discuss|decide|vote|participate|engage|involvement|community|school|university,2026-04-30,2026-04-30,,,https://unl.campuslabs.com/engage/event/12110573|https://events.unl.edu/2026/04/30/190663/|https://unl.campuslabs.com/engage/event/12086998|https://events.unl.edu/2026/04/30/190101/|https://unl.campuslabs.com/engage/event/12004161|https://unl.campuslabs.com/engage/event/12173131|https://unl.campuslabs.com/engage/event/12028390|https://unl.campuslabs.com/engage/event/12131717|https://unl.campuslabs.com/engage/event/11925238|https://unl.campuslabs.com/engage/event/12080932,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,3148.870,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,3010.724,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,2948.440,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002B,need audience national 2026-04-01 around 19:15,noisy|topic|date|time,1,0,,3461.439,audience|national|meeting|gathering|convention|exhibition|festival|celebration|cultural|community|public|people|group|organization|association|society,2026-04-01,2026-04-30,19:00,20:00,https://unl.campuslabs.com/engage/event/12302854|https://unl.campuslabs.com/engage/event/12425477|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://events.unl.edu/2026/04/26/197326/|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12416352|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418327,audience|national|theatre,2026-04-01,2026-04-01,19:15,21:15,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002B,need audience national 2026-04-01 around 19:15,noisy|topic|date|time,1,0,,3577.083,audience|national|meeting|gathering|convention|exhibition|festival|celebration|cultural|social|community|public|people|crowd|masses|group|assembly,2026-04-01,2026-04-30,19:00,20:00,https://unl.campuslabs.com/engage/event/12302854|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12418327|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12416352|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12425477,audience|national|theatre,2026-04-01,2026-04-01,19:15,21:15,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002B,need audience national 2026-04-01 around 19:15,noisy|topic|date|time,1,0,,3535.517,audience|national|meeting|gathering|convention|exhibition|festival|celebration|cultural|social|community|public|people|crowd|masses|group|assembly,2026-04-01,2026-04-30,19:00,20:00,https://unl.campuslabs.com/engage/event/12302854|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12418327|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12416352|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12425477,audience|national|theatre,2026-04-01,2026-04-01,19:15,21:15,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002C,LOOKING FOR AUDIENCE NATIONAL EVENT,noisy|topic,1,0,,3713.547,audience|national|concert|festival|gathering|meeting|conference|symposium|seminar|workshop|exhibition|fair|trade show|public|community|people|viewers|spectators|attendees|participants,2026-04-30,2026-04-30,,,https://unl.campuslabs.com/engage/event/12086998|https://unl.campuslabs.com/engage/event/12004161|https://unl.campuslabs.com/engage/event/12131717|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12173131|https://unl.campuslabs.com/engage/event/12028390|https://unl.campuslabs.com/engage/event/11925238|https://unl.campuslabs.com/engage/event/12080932|https://unl.campuslabs.com/engage/event/12110573|https://events.unl.edu/2026/04/30/199207/,audience|national|theatre,,,,,https://events.unl.edu/2026/04/01/197180/
