model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,6647.685,alcohol|drug|party|celebration|social|gathering|function|reception|get-together|hangout|meetup|mixer|networking|soiree|bash|bender|binge|buzz|high|intoxication|inebriation|jamboree|jive|joint|keg|liquor|marijuana|pot|weed|booze|brew|cocktail|drink|imbibe|indulge|savor,2026-03-31,2026-03-31,,,,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,3684.329,alcohol|drug|party|celebration|recovery|support|group|meeting|session|program|counseling|therapy|treatment|addiction|substance abuse|dependence|abuse|misuse|overuse|underage drinking|binge drinking|hangover|intoxication,2026-03-31,2026-04-30,,,https://events.unl.edu/2026/04/21/197209/|https://events.unl.edu/2026/04/28/197209/|https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12028389|https://unl.campuslabs.com/engage/event/12028390|https://events.unl.edu/2026/04/21/197216/|https://unl.campuslabs.com/engage/event/11906751|https://unl.campuslabs.com/engage/event/11906752|https://events.unl.edu/2026/04/21/198606/|https://events.unl.edu/2026/04/22/197210/,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,3392.602,alcohol|drug|party|celebration|social|gathering|function|reception|get-together|hangout|meetup|mixer|networking|soiree|bash|bender|binge|session|sesh|rager|shindig,2026-03-31,2026-03-31,,,,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,4007.320,alcohol|drug|rehabilitation|treatment|support|group|meeting|session|counseling|therapy|addiction|substance abuse,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,3876.810,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,4037.295,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3876.572,alcohol|drug|rehabilitation|treatment|support|group|meeting|session|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3806.599,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3801.025,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002A,events on 2026-03-31 about community conversation,date|topic|temporal,1,0,,3444.133,community|conversation|meeting|gathering|talk|discuss|share|outreach|service|nonprofit|volunteer|participate|engage|listen|learn,2026-03-31,2026-04-30,,,https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/12110573|https://unl.campuslabs.com/engage/event/11929546|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/11984960|https://unl.campuslabs.com/engage/event/12033629|https://unl.campuslabs.com/engage/event/12184575,community|conversation|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198606/
